2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '121.12.85.223', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.56, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '114.217.58.223', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.42, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '120.78.185.175', 'port': '8118', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '101.236.55.145', 'port': '8866', 'protocol': 2, 'nick_type': 0, 'speed': 0.6, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '35.224.248.29', 'port': '3128', 'protocol': 2, 'nick_type': 0, 'speed': 0.49, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:42 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '112.102.62.113', 'port': '8888', 'protocol': 2, 'nick_type': 0, 'speed': 0.44, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:42 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.28.203.242', 'port': '8000', 'protocol': 0, 'nick_type': -1, 'speed': 0.49, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:42 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '115.223.237.73', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.52, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:42 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '139.199.38.177', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.53, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:42 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '47.244.62.234', 'port': '8080', 'protocol': 0, 'nick_type': -1, 'speed': 0.52, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:43 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '125.105.62.17', 'port': '8118', 'protocol': 0, 'nick_type': -1, 'speed': 0.51, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:44 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '27.17.45.90', 'port': '43411', 'protocol': 2, 'nick_type': 0, 'speed': 1.99, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:44 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '218.17.21.138', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.49, 'area': None, 'score': 50, 'disable_domains': []}
